strategy,mean_roi,std_roi,min_roi,n_folds,sharpe
conf_ev_0.24,5.37,69.53,-51.09,4,0.08
conf_ev_0.22,4.78,63.8,-45.05,4,0.07
conf_ev_0.23,4.49,68.56,-50.97,4,0.07
conf_ev_0.21,2.72,58.57,-42.7,4,0.05
conf_ev_0.08,1.36,11.06,-12.2,4,0.12
ev_0.10,1.24,11.12,-12.13,4,0.11
conf_ev_0.09,0.52,12.86,-14.4,4,0.04
conf_ev_0.10,0.31,15.31,-18.84,4,0.02
conf_ev_0.20,0.31,54.12,-41.08,4,0.01
conf_ev_0.11,0.06,17.7,-22.39,4,0.0
ev_0.08,-0.02,9.56,-12.46,4,-0.0
conf_ev_0.12,-0.36,20.27,-24.63,4,-0.02
conf_ev_0.19,-0.61,47.23,-37.04,4,-0.01
ev_0.12,-0.84,12.8,-15.22,4,-0.07
conf_ev_0.13,-0.91,22.46,-27.25,4,-0.04
conf_ev_0.14,-1.31,24.69,-28.26,4,-0.05
conf_ev_0.18,-1.44,42.34,-35.59,4,-0.03
ev_0.15,-2.32,17.75,-20.33,4,-0.13
conf_ev_0.15,-2.88,27.07,-26.41,4,-0.11
conf_ev_0.17,-2.89,34.58,-31.06,4,-0.08
conf_ev_0.16,-3.21,31.02,-28.56,4,-0.1
