sport,n_total,roi_all,winrate_all,n_ev,roi_ev,n_conf,roi_conf,avg_odds
Soccer,5586,-9.3862,0.4814,1075,-14.2147,744,-26.0676,11.819808754027928
Cricket,1145,13.1514,0.6655,292,26.5205,118,5.5932,1.7771969432314407
Tennis,2136,-6.3357,0.6081,279,-8.7788,48,33.3692,2.0317095973782773
MMA,380,-3.8644,0.3921,102,-25.3522,52,-31.3846,26.759946315789474
CS2,828,1.1177,0.663,89,-19.5007,23,-5.6522,2.2558589371980675
Basketball,2153,14.7958,0.51,86,545.9547,43,1126.3191,10.213467208546213
Table Tennis,777,0.4478,0.5547,72,9.5139,6,69.1667,2.0383543114543117
Baseball,94,3.7883,0.5532,56,15.8154,27,11.3389,3.2829340425531917
League of Legends,465,-6.7963,0.5849,51,40.6412,8,49.625,1.9141363440860215
Dota 2,394,-0.4773,0.6472,43,-7.5326,4,-55.5,1.9299738578680201
Rugby,78,21.6667,0.7051,29,13.1034,2,82.5,1.7783935897435896
Ice Hockey,351,-15.0568,0.5413,25,-9.5848,9,-38.8467,2.6028621082621086
Volleyball,146,-0.4798,0.5685,11,-5.0,1,80.0,2.4424623287671237
FIFA,227,-12.103,0.4361,6,68.875,3,73.25,2.324600881057269
Valorant,22,-10.2455,0.6364,3,97.6667,0,0.0,1.720527272727273
Boxing,44,15.9477,0.7273,0,0.0,0,0.0,1.9622499999999996
