block,test_start,n_test,n_train_full,n_train_low,full_model_cev015_all_roi,full_model_cev015_all_n,full_model_cev015_odds2_5_roi,full_model_cev015_odds2_5_n,lowodds_model_cev015_all_roi,lowodds_model_cev015_all_n,lowodds_model_cev015_odds2_5_roi,lowodds_model_cev015_odds2_5_n
0,2026-01-21,601,8445,8017,-24.05,67,6.29,35,-36.97,92,8.46,39
3,2026-01-24,764,9046,8566,-31.7,74,-27.24,30,-12.29,104,2.07,28
6,2026-01-27,484,9810,9271,13.32,37,50.69,14,57.62,54,70.43,11
9,2026-01-30,694,10294,9725,-9.42,74,-26.35,38,-17.56,81,-22.26,36
12,2026-02-02,545,10988,10391,-13.3,59,-2.88,38,-36.46,68,-15.12,36
15,2026-02-05,2040,11533,10923,0.07,142,13.5,61,-32.68,165,26.31,58
18,2026-02-08,11036,13573,12858,-7.52,1070,-1.79,521,59.87,1162,-0.92,466
21,2026-02-11,9652,24609,23527,-18.35,857,-10.61,166,-23.86,846,-15.31,195
24,2026-02-14,11405,34261,32814,16.49,961,-1.07,193,12.28,1051,-1.28,192
27,2026-02-17,13738,45666,43567,-9.59,759,2.56,124,-27.13,735,-1.08,119
30,2026-02-20,15089,59404,56793,33.75,1098,-5.94,215,29.64,1151,-2.66,213
